                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.69849,                0.82874,                0.39389,                0.86843,                0.90152,                0.93905,                0.92552,                0.69903,                0.90228,                0.93985,                0.92649,                0.67051,                 1.1648,                 1.6038,                0.63811,                 1.0564,               0.003862,               0.003862,               0.003862
                     95,                 0.6948,                0.82427,                0.39261,                0.86627,                0.91074,                0.93766,                0.92546,                0.69933,                 0.9118,                 0.9388,                 0.9261,                0.67077,                 1.1638,                 1.6352,                0.63131,                 1.0556,               0.003796,               0.003796,               0.003796
                     96,                0.68677,                0.82016,                0.39142,                0.86443,                0.91161,                0.93344,                0.92456,                0.70001,                0.91224,                0.93413,                0.92513,                0.66878,                 1.1592,                 1.6837,                0.62816,                 1.0532,                0.00373,                0.00373,                0.00373
                     97,                0.68627,                0.81488,                0.38878,                0.86208,                0.90953,                0.93746,                0.92509,                0.70025,                0.91143,                0.93658,                0.92554,                0.67066,                 1.1649,                 1.6605,                0.63859,                 1.0554,               0.003664,               0.003664,               0.003664
                     98,                0.68062,                0.81237,                0.38777,                0.86225,                0.90326,                0.94238,                0.92304,                0.69878,                0.90429,                0.94307,                0.92401,                0.66979,                 1.1639,                 1.6549,                 0.6399,                 1.0563,               0.003598,               0.003598,               0.003598
                     99,                0.68199,                0.81143,                0.38995,                0.86371,                0.90441,                0.93734,                0.91968,                0.69556,                0.90538,                0.93836,                0.92084,                 0.6651,                 1.1655,                 1.6646,                0.64648,                 1.0586,               0.003532,               0.003532,               0.003532
                    100,                0.67514,                0.80962,                0.38612,                0.86223,                0.91346,                0.93509,                0.92522,                0.69894,                0.91458,                0.93575,                0.92553,                0.66816,                 1.1635,                 1.6789,                0.63399,                 1.0572,               0.003466,               0.003466,               0.003466
                    101,                 0.6689,                0.79944,                0.38724,                0.86181,                0.91028,                0.92918,                0.92116,                0.69722,                0.91135,                0.93032,                0.92172,                0.66598,                 1.1601,                 1.6736,                0.63052,                 1.0577,                 0.0034,                 0.0034,                 0.0034
                    102,                0.67329,                0.80144,                0.38436,                0.86202,                0.90118,                 0.9375,                0.91993,                0.69527,                0.90191,                0.93822,                0.92045,                 0.6651,                 1.1604,                 1.6862,                0.63974,                 1.0583,               0.003334,               0.003334,               0.003334
                    103,                0.67271,                0.80614,                0.38556,                0.86124,                0.90412,                0.94001,                0.92116,                0.69622,                0.90453,                0.94048,                0.92142,                0.66555,                 1.1655,                   1.68,                0.64653,                 1.0607,               0.003268,               0.003268,               0.003268
                    104,                0.66741,                0.79781,                0.38299,                0.85948,                0.90597,                0.94063,                0.92113,                 0.6963,                0.90707,                0.94133,                0.92202,                0.66609,                 1.1669,                 1.6874,                0.64069,                   1.06,               0.003202,               0.003202,               0.003202
